date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-03-06,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/03/2020,7DR-10DR-6DR,54,73,2,93,32,0,57,3,73,58,38,26,23,11,4,73,88,21,47,98,77,63,57,0,83,71,17
2020-03-07,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/03/2020,12DQ-11DQ-5DQ,68,73,36,44,12,8,99,44,14,56,65,31,3,62,87,30,15,76,77,61,10,58,75,6,83,85,12
2020-03-08,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/03/2020,12DP-3DP-11DP,60,92,42,57,43,77,10,2,94,21,48,85,92,40,95,22,65,35,43,29,61,55,85,3,73,33,53
2020-03-09,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/03/2020,4DN-6DN-8DN,73,77,96,88,79,53,78,64,61,6,71,81,2,89,56,79,9,14,37,28,82,61,85,64,80,76,95
2020-03-10,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/03/2020,2DM-10DM-11DM,49,29,42,65,64,81,51,51,14,5,7,19,97,79,90,96,64,90,55,14,6,97,71,99,1,17,63
2020-03-11,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/03/2020,1DL-12DL-10DL,24,94,80,40,29,50,98,60,25,79,25,59,2,34,29,41,2,26,91,99,45,65,74,45,79,21,11
2020-03-12,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 12/03/2020,10DK-13DK-12DK,51,7,21,93,39,61,94,53,29,62,54,82,32,78,31,98,18,32,21,35,9,21,19,44,56,1,47
2020-03-13,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 13/03/2020,11DH-2DH-4DH,18,41,87,22,31,24,89,5,40,11,23,19,0,83,84,62,40,0,81,0,52,14,87,92,82,2,99
2020-03-14,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 14/03/2020,8DG-13DG-9DG,15,9,60,22,28,70,50,16,71,24,90,61,10,72,81,74,5,15,13,99,14,87,21,98,35,2,15
2020-03-15,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 15/03/2020,10DF-13DF-8DF,1,15,61,73,14,46,37,46,36,86,0,32,51,84,71,88,24,14,15,20,30,98,56,85,10,24,18
2020-03-16,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 16/03/2020,14DE-8DE-15DE,22,57,2,90,63,0,45,56,28,40,86,44,88,34,10,74,24,66,75,15,98,74,58,30,77,0,29
2020-03-17,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 17/03/2020,15DC-7DC-5DC,67,3,49,72,46,69,11,27,35,97,51,84,66,90,43,88,15,38,12,30,82,11,24,93,25,74,65
2020-03-18,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 18/03/2020,6DB-14DB-13DB,89,79,33,53,16,22,72,41,59,64,92,65,94,95,97,18,47,88,0,26,51,94,94,12,54,28,90
2020-03-19,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 19/03/2020,1DA-12DA-7DA,74,72,85,32,74,51,79,51,63,42,27,23,4,6,4,89,63,22,29,67,10,71,12,81,19,36,79
2020-03-20,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 20/03/2020,8EZ-11EZ-2EZ,36,68,78,94,55,64,16,75,46,42,41,62,68,56,91,91,14,1,6,71,31,74,31,74,73,89,21
2020-03-21,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 21/03/2020,14EY-11EY-3EY,21,3,98,24,96,15,37,98,72,90,28,43,21,24,14,35,77,51,34,86,12,14,6,91,48,90,26
